单价,数量
叁元肆角伍分,7
叁元贰角柒分,1
拾伍元肆角肆分,1
拾元叁角伍分,1
叁元柒角柒分,1
壹元壹角捌分,2
贰元叁角壹分,1
陆元壹角柒分,1
叁元肆角,7
拾玖元伍角伍分,1
贰拾壹元陆角陆分,1
伍角柒分,1
叁元玖角肆分,1
伍拾叁元壹角伍分,1
柒元捌角,1
柒元捌角叁分,4
贰元柒角陆分,2
拾伍元捌角壹分,1
拾叁元捌角捌分,1
贰元贰角柒分,1
贰拾肆元捌角柒分,1
叁拾捌元零伍分,1
陆元叁角叁分,1
叁拾叁元贰角柒分,1
贰拾叁元捌角壹分,1
柒元柒角捌分,1
贰元肆角柒分,1
叁拾陆元贰角肆分,1
伍元肆角壹分,1
壹元陆角玖分,2
壹元零陆分,1
拾玖元玖角叁分,1
贰角,2
拾壹元肆角肆分,1
拾伍元肆角,3
叁元贰角柒分,9
贰拾柒元玖角柒分,1
壹元贰角壹分,4
拾捌元贰角玖分,1
拾柒元零肆分,1
拾捌元零伍分,1
玖元捌角玖分,1
肆拾肆元贰角伍分,1
叁元肆角肆分,1
柒元壹角叁分,1
拾伍元壹角贰分,1
叁拾伍元零贰分,1
拾壹元贰角肆分,1
壹元捌角伍分,1
贰拾贰元捌角贰分,1
玖元陆角壹分,1
壹元叁角捌分,1
叁拾贰元柒角叁分,1
贰元叁角叁分,2
拾叁元零柒分,2
肆元伍角贰分,4
伍元壹角捌分,6
叁元陆角壹分,1
壹元陆角肆分,7
叁元陆角壹分,1
叁元捌角,2
拾贰元陆角叁分,1
捌拾贰元柒角壹分,1
肆元零伍分,1
叁拾捌元玖角陆分,1
伍元陆角,6
柒元陆角柒分,1
贰拾贰元柒角玖分,1
贰元伍角柒分,1
贰拾柒元伍角,1
玖拾柒元叁角叁分,1
贰元叁角肆分,1
玖元陆角贰分,2
陆角柒分,10
肆拾元肆角伍分,1
肆元肆角陆分,1
贰拾贰元叁角叁分,1
拾陆元捌角叁分,1
叁角伍分,2
贰拾伍元肆角玖分,1
柒元零肆分,1
柒角贰分,1
捌元壹角叁分,1
柒角玖分,9
肆拾元叁角叁分,1
捌元陆角柒分,1
壹元玖角柒分,4
伍元捌角叁分,1
贰元陆角玖分,2
拾贰元肆角,1
叁拾元伍角伍分,1
肆角,6
叁元陆角玖分,5
贰拾肆元肆角柒分,1
叁元壹角捌分,1
拾贰元陆角壹分,1
贰拾贰元壹角肆分,1
贰拾壹元壹角伍分,1
柒分,1
陆分,10
叁元叁角伍分,1
伍元叁角肆分,1
陆角柒分,1
陆元肆角柒分,1
壹元玖角贰分,2
贰元玖角捌分,1
伍拾壹元柒角柒分,1
柒拾贰元伍角叁分,1
拾肆元陆角肆分,2
伍元玖角贰分,2
叁拾伍元肆角伍分,1
贰拾壹元壹角柒分,1
陆拾捌元叁角伍分,1
壹元零柒分,6
肆元叁角伍分,4
拾肆元壹角玖分,3
拾壹元壹角玖分,1
壹元壹角,1
贰拾元肆角陆分,1
壹元捌角伍分,2
玖元陆角玖分,1
陆元贰角柒分,1
叁元陆角壹分,7
壹元叁角捌分,1
贰拾元伍角,1
壹元捌角伍分,2
